Product,Rating,Review
xiaomi,5,"Anonymous, 01 Jul 2021Mi 10T pro has the exact same manufacturer make and model of wide angle camera as the mi 11, y... moreprobably because of the AI processing on mi 10 isn't as good as mi 11. The camera could have the same build but if the software is different the result could also be different."
xiaomi,1,"Anonymous, 01 Jul 2021Mi 10T pro has the exact same manufacturer make and model of wide angle camera as the mi 11, y... moreHypocrisy and biasedness i guess"
xiaomi,1,"Anonymous, 01 Jul 2021Mi 10T pro has the exact same manufacturer make and model of wide angle camera as the mi 11, y... moreHardware is one thing, software is another.  Hardware will not run properly without appropriate software."
xiaomi,5,"Mi 10T pro has the exact same manufacturer make and model of wide angle camera as the mi 11, yet the review of that camera was much worse then the same one on the min11 ? Why is that ?  "
xiaomi,4,The Most Best Worth It High End Phone!
xiaomi,4,"Anonymous, 23 May 2021Battery not good. Drain off too fastThat's not true "
xiaomi,5,Battery not good. Drain off too fast
xiaomi,4,"Anonymous, 20 Apr 2021It's a trend mate. As the tws is becoming more popular, soon some consumers, including me... moreIt is, always has been a trend since Apple removed it in late 2016.
 
Eh, I'd rather not have one more thing that I need to remember to charge every night.
 
Not saying TWS is bad, it's actually really great and I depend on it a lot during many situations, but it can't replace a wired set of earphones/IEMs. 
 
Honestly, I love both. I really do. But I cannot do without wired. And if I were to buy a phone with the jack, I'd just use an adapter then.
 
Why can't both wireless and wired live together in harmony? BTW don't answer that, that's a question for the big corporations."
xiaomi,5,"NeonHD, 10 Apr 2021Sadly this is gonna be the new normal for flagship phones. In fact, it already is. I wish to b... moreIt's a trend mate. As the tws is becoming more popular, soon some consumers, including me, won't feel much with the absent of 3.5mm jack."
xiaomi,5,"Junior125, 29 Mar 2021i would buy the phone, but it doesn't have a 3.5 earphone jack 🙄Sadly this is gonna be the new normal for flagship phones. In fact, it already is. I wish to be that guy who will never buy a phone without a headphone jack, but eventually I too will have to surrender. "
xiaomi,4,"Junior125, 29 Mar 2021i would buy the phone, but it doesn't have a 3.5 earphone jack 🙄It comes with a 3.5mm adapter tho. And free wireless airbuds in many regions!"
